ontology,size,entailments,justifications,axioms in justs,activity,DL group
neural-immune-gene-ontology,8835,386,1720,1887,21.36%,HRS
orphanet-ontology-of-rare-diseases,79180,466,5387,2894,3.65%,HRS
phenotypic-quality,1884,259,1402,542,28.77%,HRS
plant-anatomy,2211,156,517,349,15.78%,HRS
plant-ontology,2496,132,414,329,13.18%,HRS
spatial-ontology,236,102,202,154,65.25%,HRS
student-health-record,418,2,6,7,1.67%,HRS
synapse-ontology,6743,59,138,241,3.57%,HRS
units-of-measurement,2227,4,8,17,0.76%,HRS
vertebrate-anatomy-ontology,392,196,930,86,21.94%,HRS
amino-acid,477,112,3539,219,45.91%,IC
basic-formal-ontology,95,116,652,51,53.68%,IC
basic-vertebrate-anatomy,386,7,13,6,1.55%,IC
bleeding-history-phenotype,1925,209,905,475,24.68%,IC
bone-dysplasia-ontology,44683,48,97,135,0.30%,IC
cognitive-atlas,8791,50,306,216,2.46%,IC
dendritic-cell,313,61,76,50,15.97%,IC
electrocardiography-ontology,1274,81,203,135,10.60%,IC
experimental-factor-ontology,21576,189,472,557,2.58%,IC
family-health-history-ontology,1111,367,727,159,14.31%,IC
fungal-gross-anatomy,106,44,109,40,37.74%,IC
international-classification-for-nursing-practice,11891,174,461,422,3.55%,IC
ontology-for-microrna-target-prediction,415,1,2,4,0.96%,IC
ontology-of-adverse-events-oae-,807,64,140,82,10.16%,IC
ontology-of-clinical-research-ocre-,51,1,5,6,11.76%,IC
ontology-of-homology-and-related-concepts-in-biology,83,30,61,44,53.01%,IC
phare,459,6,12,5,1.09%,IC
phenotype-fragment-ontology,455,17,51,40,8.79%,IC
pilot-ontology,85,15,53,33,38.82%,IC
quantitative-imaging-biomarker-ontology,1699,15,93,44,2.59%,IC
sequence-types-and-features,2605,45,94,167,6.41%,IC
smoking-behavior-risk-ontology,185,8,16,18,9.73%,IC
sysmo-jerm,417,22,65,54,12.95%,IC
teleost-anatomy-ontology,4834,125,292,254,5.25%,IC
biopax,399,18,38,36,9.02%,N
lipid-ontology,2375,565,4139,520,21.89%,N
ontology-for-genetic-interval,524,188,599,125,23.85%,N
subcellular-anatomy-ontology-sao-,2953,69,223,174,5.89%,N
systems-chemical-biology-chemogenomics,499,4,10,15,3.01%,N
translational-medicine-ontology,502,21,50,38,7.57%,N
vivo,1712,18,47,36,2.10%,N
animal-natural-history-and-life-history,638,57,954,164,25.71%,O_OR_Q
brucellosis-ontology,3139,94,226,176,5.61%,O_OR_Q
cao,442,751,5595,298,67.42%,O_OR_Q
cerebrotendinous-xanthomatosis,1972,14,25,22,1.12%,O_OR_Q
cognitive-paradigm-ontology,682,38,90,43,6.30%,O_OR_Q
computational-neuroscience-ontology,1241,16,83,28,2.26%,O_OR_Q
dikb-evidence-ontology,645,32,32,32,4.96%,O_OR_Q
eagle-i-research-resource-ontology,3114,583,11324,913,29.32%,O_OR_Q
enzyme-mechanism-ontology,931,9,16,19,2.04%,O_OR_Q
general-formal-ontology,212,73,365,79,37.26%,O_OR_Q
infectious-disease-ontology,1245,418,1421,362,29.08%,O_OR_Q
information-artifact-ontology,314,33,65,20,6.37%,O_OR_Q
kinetic-simulation-algorithm-ontology,706,199,2388,532,75.35%,O_OR_Q
neomark-oral-cancer-ontology,399,389,2042,281,70.43%,O_OR_Q
ontology-for-parasite-lifecycle,855,369,10327,482,56.37%,O_OR_Q
ontology-of-general-purpose-datatypes,459,1,2,4,0.87%,O_OR_Q
snp-ontology,11199,293,3384,31,0.28%,O_OR_Q
tok_ontology,466,1,2,3,0.64%,O_OR_Q
adverse-event-reporting-ontology,537,49,94,43,8.01%,OQ
software-ontology,3560,494,1365,937,26.32%,OQ
time-event-ontology,1036,8,19,19,1.83%,OQ
